Website,Phone Name,Price,Link
Amazon,Apple iPhone 14 (128 GB) - Purple,"55,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMxMjU3OTYwNjE2MTMyOjE3MzM0MDk0NzI6c3BfYXRmOjIwMDc3MzUyNzI3MDk4OjowOjo&url=%2FApple-iPhone-14-128GB-Purple%2Fdp%2FB0BDJ213TX%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM%26dib_tag%3Dse%26keywords%3Diphone%2B14%26qid%3D1733409472%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Amazon,Apple iPhone 14 Plus (256 GB) - Blue,"72,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMxMjU3OTYwNjE2MTMyOjE3MzM0MDk0NzI6c3BfYXRmOjIwMDc3MzYyNTUxNDk4OjowOjo&url=%2FApple-iPhone-Plus-256GB-Blue%2Fdp%2FB0BDJQHJZZ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM%26dib_tag%3Dse%26keywords%3Diphone%2B14%26qid%3D1733409472%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Amazon,Apple iPhone 14 (128 GB) - Midnight,"54,990",https://www.amazon.in/Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_3?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-3
Amazon,Apple iPhone 14 (128 GB) - Starlight,"54,900",https://www.amazon.in/Apple-iPhone-14-128GB-Starlight/dp/B0BDK8LKPJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-4
Amazon,Apple iPhone 14 (128 GB) - Purple,"55,990",https://www.amazon.in/Apple-iPhone-14-128GB-Purple/dp/B0BDJ213TX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-5
Amazon,Apple iPhone 14 (128 GB) - Blue,"55,990",https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_6?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-6
Amazon,Apple iPhone 14 (256 GB) - Purple,"66,900",https://www.amazon.in/Apple-iPhone-14-256GB-Purple/dp/B0BDJB5KHG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-7
Amazon,Apple iPhone 14 (128 GB) - Yellow,"54,900",https://www.amazon.in/Apple-iPhone-14-128-GB/dp/B0BXQ2V3NJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-8
Amazon,Apple iPhone 14 (256 GB) - Midnight,"66,900",https://www.amazon.in/Apple-iPhone-14-256GB-Midnight/dp/B0BDJ6N5D6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-9
Amazon,Apple iPhone 13 (128GB) - Starlight,"45,490",https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-10
